Blender Node,Node Category,Unity Equivalent,Compatibility %,Conversion Strategy,Parameters to Map,Notes,Custom Node File,Documentation File,Example File
Texture Coordinate,Input,UV / Object Pos,95%,Direct mapping,"UV Set, Object, Camera, Window, Normal, Tangent",Map UV/Position inputs,data/custom_nodes/ShaderNodeTexCoord.json,data/custom_nodes/docs/ShaderNodeTexCoord.md,data/custom_nodes/examples/Input/Texture Coordinate.shadersubgraph
UV Map,Input,UV (Custom),95%,Direct mapping,UV Map name,Custom UV set support,data/custom_nodes/ShaderNodeUVMap.json,data/custom_nodes/docs/ShaderNodeUVMap.md,data/custom_nodes/examples/Input/Texture Coordinate.shadersubgraph
Tangent,Input,Tangent (custom),85%,Direct mapping,Direction (Radial/X/Y/Z),Vertex tangent space,data/custom_nodes/ShaderNodeTangent.json,data/custom_nodes/docs/ShaderNodeTangent.md,data/custom_nodes/examples/Input/Geometry.shadersubgraph
Normal,Input,Normal,90%,Direct mapping,,Vertex normal vector,data/custom_nodes/ShaderNodeNormal.json,data/custom_nodes/docs/ShaderNodeNormal.md,data/custom_nodes/examples/ShaderNodeNormal/Normals.shadergraph
Value,Input,Float Constant,100%,Direct mapping,Value,Simple constant,data/custom_nodes/ShaderNodeValue.json,data/custom_nodes/docs/ShaderNodeValue.md,data/custom_nodes/examples/Converter/BlenderMath.shadersubgraph
RGB,Input,Color Constant,100%,Direct mapping,Color RGBA,Simple color constant,data/custom_nodes/ShaderNodeRGB.json,data/custom_nodes/docs/ShaderNodeRGB.md,data/custom_nodes/examples/Color/Gamma.shadersubgraph
Attribute,Input,Vertex Attribute,85%,Map to vertex data,Attribute name,Custom attributes required,data/custom_nodes/ShaderNodeAttribute.json,data/custom_nodes/docs/ShaderNodeAttribute.md,data/custom_nodes/examples/Input/Geometry.shadersubgraph
Layer Weight,Input,Fresnel/Facing,75%,Approximate with Fresnel,"Blend type, Blend factor",Needs custom setup,data/custom_nodes/ShaderNodeLayerWeight.json,data/custom_nodes/docs/ShaderNodeLayerWeight.md,data/custom_nodes/examples/ShaderNodeFresnel/MeshRenderer-ColorRim.ShaderGraph
Fresnel,Input,Fresnel,95%,Direct mapping,"IOR, Normal",Direct conversion,data/custom_nodes/ShaderNodeFresnel.json,data/custom_nodes/docs/ShaderNodeFresnel.md,data/custom_nodes/examples/ShaderNodeFresnel/Camera Based Outline.shader
Hair Info,Input,N/A (Custom attr),20%,Use vertex attributes,"Hair strand, length, weight",Hair system specific,data/custom_nodes/ShaderNodeHairInfo.json,data/custom_nodes/docs/ShaderNodeHairInfo.md,data/custom_nodes/examples/ShaderNodeHairInfo/NormalBlend.shadergraph
Object Info,Input,Object property,65%,Script-based property,"Location, index, color",Requires C# script,data/custom_nodes/ShaderNodeObjectInfo.json,data/custom_nodes/docs/ShaderNodeObjectInfo.md,data/custom_nodes/examples/Input/Object Info.shadersubgraph
Particle Info,Input,,10%,Custom vertex setup,"Particle index, age, velocity",Particle system dependent,data/custom_nodes/ShaderNodeParticleInfo.json,data/custom_nodes/docs/ShaderNodeParticleInfo.md,data/custom_nodes/examples/ShaderNodeParticleInfo/ParticleEffect.shadergraph
Light Path,Input,,0%,Impossible in real-time,"Ray type, bounce count",Rendering-specific logic,data/custom_nodes/ShaderNodeLightPath.json,data/custom_nodes/docs/ShaderNodeLightPath.md,
Wavelength,Input,Color lookup,35%,Hardcoded RGB table,380-780nm wavelength,Physics approximation,data/custom_nodes/ShaderNodeBlackbody.json,data/custom_nodes/docs/ShaderNodeBlackbody.md,data/custom_nodes/examples/Color/Gamma.shadersubgraph
Color Ramp,Input,Custom Gradient,75%,Bake to texture,"Ramp points, interpolation",Requires texture baking,data/custom_nodes/ShaderNodeColorRamp.json,data/custom_nodes/docs/ShaderNodeColorRamp.md,data/custom_nodes/examples/Converter/Color Ramp.shadersubgraph
Curve RGB,Input,Remap (if simple),50%,Approximate with Math,"Curve points, presets",Complex curves difficult,data/custom_nodes/ShaderNodeCurveRGB.json,data/custom_nodes/docs/ShaderNodeCurveRGB.md,data/custom_nodes/examples/Converter/Color Ramp.shadersubgraph
Map Range,Input,Map Range,90%,Direct mapping,"From Min/Max, To Min/Max",Linear remapping,data/custom_nodes/ShaderNodeMapRange.json,data/custom_nodes/docs/ShaderNodeMapRange.md,data/custom_nodes/examples/Converter/MapRange.shadersubgraph
Separate XYZ,Vector,Split (Vector),100%,Direct mapping,,1:1 conversion,data/custom_nodes/ShaderNodeSeparateXYZ.json,data/custom_nodes/docs/ShaderNodeSeparateXYZ.md,data/custom_nodes/examples/Converter/BlenderVectorMath.shadersubgraph
Combine XYZ,Vector,Combine (Vector),100%,Direct mapping,,1:1 conversion,data/custom_nodes/ShaderNodeCombineXYZ.json,data/custom_nodes/docs/ShaderNodeCombineXYZ.md,data/custom_nodes/examples/Converter/BlenderVectorMath.shadersubgraph
Separate RGB,Vector,Split (Vector),100%,Direct mapping,,Treat as XYZ,data/custom_nodes/ShaderNodeSeparateRGB.json,data/custom_nodes/docs/ShaderNodeSeparateRGB.md,data/custom_nodes/examples/Converter/BlenderVectorMath.shadersubgraph
Combine RGB,Vector,Combine (Vector),100%,Direct mapping,,Treat as XYZ,data/custom_nodes/ShaderNodeCombineRGB.json,data/custom_nodes/docs/ShaderNodeCombineRGB.md,data/custom_nodes/examples/Converter/BlenderVectorMath.shadersubgraph
Separate HSV,Vector,N/A (Custom),40%,HSV→RGB formula,"H, S, V channels",Requires decomposition,data/custom_nodes/ShaderNodeSeparateHSV.json,data/custom_nodes/docs/ShaderNodeSeparateHSV.md,data/custom_nodes/examples/Color/HueSaturationValue.shadersubgraph
Combine HSV,Vector,N/A (Custom),40%,HSV→RGB formula,"H, S, V inputs",Requires composition,data/custom_nodes/ShaderNodeCombineHSV.json,data/custom_nodes/docs/ShaderNodeCombineHSV.md,data/custom_nodes/examples/Color/HueSaturationValue.shadersubgraph
Vector Math,Vector,Vector (Node),100%,Direct mapping,Operation type,Full parity with Unity,data/custom_nodes/ShaderNodeVectorMath.json,data/custom_nodes/docs/ShaderNodeVectorMath.md,data/custom_nodes/examples/Converter/BlenderVectorMath.shadersubgraph
Vector Curve,Vector,Math approximation,50%,Use Math nodes,X/Y/Z curves,Complex to replicate,data/custom_nodes/ShaderNodeVectorCurve.json,data/custom_nodes/docs/ShaderNodeVectorCurve.md,data/custom_nodes/examples/Converter/BlenderVectorMath.shadersubgraph
Vector Rotate,Vector,Rotate Around Axis,80%,Custom node or Math,"Axis, Angle, Type",May need custom shader,data/custom_nodes/ShaderNodeVectorRotate.json,data/custom_nodes/docs/ShaderNodeVectorRotate.md,data/custom_nodes/examples/Converter/BlenderVectorMath.shadersubgraph
Vector Transform,Vector,Transform (custom),70%,Matrix multiply node,"Vector, Matrix, Space",Custom implementation,data/custom_nodes/ShaderNodeVectorTransform.json,data/custom_nodes/docs/ShaderNodeVectorTransform.md,data/custom_nodes/examples/Converter/BlenderVectorMath.shadersubgraph
Mapping,Vector,Tiling and Offset,90%,Direct parameter map,"Location, Rotation, Scale",3D texture support,data/custom_nodes/ShaderNodeMapping.json,data/custom_nodes/docs/ShaderNodeMapping.md,data/custom_nodes/examples/Vector/Mapping.shadersubgraph
Normal Map,Vector,Normal From Texture,90%,Direct mapping,"Height, Strength, Space",Color space aware,data/custom_nodes/ShaderNodeNormalMap.json,data/custom_nodes/docs/ShaderNodeNormalMap.md,data/custom_nodes/examples/Vector/Normal Map.shadersubgraph
Bump,Vector,Normal From Texture,75%,Height→Normal conversion,"Height, Strength, Distance",Approximation needed,data/custom_nodes/ShaderNodeBump.json,data/custom_nodes/docs/ShaderNodeBump.md,data/custom_nodes/examples/Vector/Bump.shadersubgraph
Displacement,Vector,Vertex Offset,60%,Vertex displacement,"Height, Midlevel, Scale",Quality depends on mesh,data/custom_nodes/ShaderNodeDisplacement.json,data/custom_nodes/docs/ShaderNodeDisplacement.md,data/custom_nodes/examples/ShaderNodeDisplacement/Sine Vertex Displacement.shader
Math,Utility,Math,100%,Direct 1:1 mapping,Operation (30+ types),Complete parity,data/custom_nodes/ShaderNodeMath.json,data/custom_nodes/docs/ShaderNodeMath.md,data/custom_nodes/examples/Converter/BlenderMath.shadersubgraph
Add Shader,Utility,Add (for values),85%,Direct mapping,,Shader composition,data/custom_nodes/ShaderNodeAddShader.json,data/custom_nodes/docs/ShaderNodeAddShader.md,data/custom_nodes/examples/ShaderNodeEmission/Sprite-Glowing.ShaderGraph
Mix Shader,Utility,Lerp (shader),85%,Lerp node,"Factor, Shader1, Shader2",Linear blend,data/custom_nodes/ShaderNodeMixShader.json,data/custom_nodes/docs/ShaderNodeMixShader.md,data/custom_nodes/examples/ShaderNodeEmission/Sprite-Glowing.ShaderGraph
Mix RGB,Utility,Lerp / Blend,90%,Blend node,"Factor, Color1, Color2, Mode",Blend modes differ,data/custom_nodes/ShaderNodeMixRGB.json,data/custom_nodes/docs/ShaderNodeMixRGB.md,data/custom_nodes/examples/ShaderNodeMixRGB/Procedural-Noise-ColorBlend.ShaderGraph
Clamp,Utility,Clamp,100%,Direct mapping,"Min, Max values",Min/Max limiting,data/custom_nodes/ShaderNodeClamp.json,data/custom_nodes/docs/ShaderNodeClamp.md,data/custom_nodes/examples/Converter/BlenderMath.shadersubgraph
Blackbody,Utility,Blackbody,85%,Color from temperature,Temperature (Kelvin),Physics-based color,data/custom_nodes/ShaderNodeBlackbody.json,data/custom_nodes/docs/ShaderNodeBlackbody.md,data/custom_nodes/examples/Color/Gamma.shadersubgraph
Float Curve,Utility,Remap curve,50%,Approximate with Math,Curve points,Complex curves hard,data/custom_nodes/ShaderNodeCurveFloat.json,data/custom_nodes/docs/ShaderNodeCurveFloat.md,data/custom_nodes/examples/Converter/Color Ramp.shadersubgraph
RGB Curves,Utility,N/A (per-channel),40%,Use Math per channel,R/G/B curves,Difficult to replicate,data/custom_nodes/ShaderNodeCurveRGB.json,data/custom_nodes/docs/ShaderNodeCurveRGB.md,data/custom_nodes/examples/Converter/Color Ramp.shadersubgraph
Shader to RGB,Utility,Bsdf to RGB,60%,Custom approximation,Shader input,Requires approximation,data/custom_nodes/ShaderNodeShaderToRGB.json,data/custom_nodes/docs/ShaderNodeShaderToRGB.md,data/custom_nodes/examples/ShaderNodeEmission/Sprite-Glowing.ShaderGraph
Principled BSDF,Shader,Custom PBR (5+),50%,Decompose into components,"BaseColor, Metallic, Roughness, Normal, Emission, IOR",Most complex conversion,data/custom_nodes/ShaderNodeBsdfPrincipled.json,data/custom_nodes/docs/ShaderNodeBsdfPrincipled.md,data/custom_nodes/examples/ShaderNodeEmission/Sprite-Glowing.ShaderGraph
Diffuse BSDF,Shader,Standard Diffuse,85%,Direct to Color,"Color, Normal, Roughness",Basic PBR,data/custom_nodes/ShaderNodeBsdfDiffuse.json,data/custom_nodes/docs/ShaderNodeBsdfDiffuse.md,data/custom_nodes/examples/ShaderNodeBsdfDiffuse/Lambert.shadergraph
Glossy BSDF,Shader,Specular (custom),70%,Color + Metallic,"Color, Roughness, Normal",Approximate,data/custom_nodes/ShaderNodeBsdfGlossy.json,data/custom_nodes/docs/ShaderNodeBsdfGlossy.md,data/custom_nodes/examples/ShaderNodeEmission/Sprite-Glowing.ShaderGraph
Glass BSDF,Shader,Transparent+Specular,70%,Composite 2 nodes,"Color, IOR, Roughness",Requires composition,data/custom_nodes/ShaderNodeBsdfGlass.json,data/custom_nodes/docs/ShaderNodeBsdfGlass.md,data/custom_nodes/examples/ShaderNodeEmission/Sprite-Glowing.ShaderGraph
Transparent BSDF,Shader,Transparent (basic),85%,Direct mapping,"Color, Normal",Simple transparency,data/custom_nodes/ShaderNodeBsdfTransparent.json,data/custom_nodes/docs/ShaderNodeBsdfTransparent.md,
Refraction BSDF,Shader,N/A (Glass approx),60%,Use Glass+IOR,"Color, IOR, Roughness",Approximation,data/custom_nodes/ShaderNodeBsdfRefraction.json,data/custom_nodes/docs/ShaderNodeBsdfRefraction.md,data/custom_nodes/examples/ShaderNodeEmission/Sprite-Glowing.ShaderGraph
Translucent BSDF,Shader,N/A (custom),40%,Subsurface approx,"Color, Normal, Subsurface",Difficult without SSS,data/custom_nodes/ShaderNodeBsdfTranslucent.json,data/custom_nodes/docs/ShaderNodeBsdfTranslucent.md,data/custom_nodes/examples/ShaderNodeEmission/Sprite-Glowing.ShaderGraph
Emission,Shader,Emission,85%,Direct mapping,"Color, Strength",Works but no bloom auto,data/custom_nodes/ShaderNodeEmission.json,data/custom_nodes/docs/ShaderNodeEmission.md,data/custom_nodes/examples/ShaderNodeEmission/Sprite-Glowing.ShaderGraph
Anisotropic BSDF,Shader,,30%,Custom shader needed,"Color, Roughness, Rotation, Tangent",Requires custom code,data/custom_nodes/ShaderNodeBsdfAnisotropic.json,data/custom_nodes/docs/ShaderNodeBsdfAnisotropic.md,data/custom_nodes/examples/ShaderNodeEmission/Sprite-Glowing.ShaderGraph
Sheen BSDF,Shader,,20%,Approximate Fresnel,"Color, Roughness, Weight",Complex to approximate,data/custom_nodes/ShaderNodeBsdfSheen.json,data/custom_nodes/docs/ShaderNodeBsdfSheen.md,data/custom_nodes/examples/ShaderNodeEmission/Sprite-Glowing.ShaderGraph
Toon BSDF,Shader,,40%,Ramp-based system,"Color, Size, Smooth",Requires gradient ramp,data/custom_nodes/ShaderNodeBsdfToon.json,data/custom_nodes/docs/ShaderNodeBsdfToon.md,data/custom_nodes/examples/ShaderNodeMixRGB/Procedural-Noise-ColorBlend.ShaderGraph
Subsurface Scattering,Shader,Custom SSS,30%,Screen-space approx,"Color, Radius, IOR, Profile",Complex custom shader,data/custom_nodes/ShaderNodeSubsurfaceScattering.json,data/custom_nodes/docs/ShaderNodeSubsurfaceScattering.md,data/custom_nodes/examples/ShaderNodeEmission/Sprite-Glowing.ShaderGraph
Hair BSDF,Shader,,10%,Not applicable,"Offset, Direct, Reflected",Hair-specific only,data/custom_nodes/ShaderNodeHairBsdf.json,data/custom_nodes/docs/ShaderNodeHairBsdf.md,
Holdout,Shader,,5%,Not applicable,,Compositor only,data/custom_nodes/ShaderNodeHoldout.json,data/custom_nodes/docs/ShaderNodeHoldout.md,
Volume Absorption,Shader,,0%,Impossible in RT,"Color, Density",Cycles volumetric only,data/custom_nodes/ShaderNodeVolumeAbsorption.json,data/custom_nodes/docs/ShaderNodeVolumeAbsorption.md,
Volume Scatter,Shader,,0%,Impossible in RT,"Color, Density, Anisotropy",Cycles volumetric only,data/custom_nodes/ShaderNodeVolumeScatter.json,data/custom_nodes/docs/ShaderNodeVolumeScatter.md,
Light Falloff,Shader,,0%,Rendering pipeline,Quadratic/Linear/Constant,Cannot replicate in RT,data/custom_nodes/ShaderNodeLightFalloff.json,data/custom_nodes/docs/ShaderNodeLightFalloff.md,
Ambient Occlusion,Shader,N/A (bake),10%,Bake to texture,"Distance, Samples",Must pre-bake in Blender,data/custom_nodes/ShaderNodeAmbientOcclusion.json,data/custom_nodes/docs/ShaderNodeAmbientOcclusion.md,
Image Texture,Texture,Sample Texture 2D,95%,Direct mapping,"Image, UV, Extension",Core texture sampling,data/custom_nodes/ShaderNodeTexImage.json,data/custom_nodes/docs/ShaderNodeTexImage.md,data/custom_nodes/examples/Texture/Image Texture.shadersubgraph
Environment Texture,Texture,Cubemap Sample,85%,Sample Cubemap,Image (HDR/EXR),Similar workflow,data/custom_nodes/ShaderNodeTexEnvironment.json,data/custom_nodes/docs/ShaderNodeTexEnvironment.md,data/custom_nodes/examples/Texture/Image Texture.shadersubgraph
Noise Texture,Texture,Noise (shader built-in),75%,Use shader Noise,"Scale, Detail, Roughness, Offset, W",Blender version varies,data/custom_nodes/ShaderNodeTexNoise.json,data/custom_nodes/docs/ShaderNodeTexNoise.md,data/custom_nodes/examples/Texture/NoiseTexture.shadersubgraph
Musgrave Texture,Texture,Fractal Brownian,60%,Custom procedural,"Scale, Detail, Dimension, Lacunarity",Needs custom shader,data/custom_nodes/ShaderNodeTexMusgrave.json,data/custom_nodes/docs/ShaderNodeTexMusgrave.md,data/custom_nodes/examples/Texture/MusgraveTexture.shadersubgraph
Voronoi Texture,Texture,Custom procedural,50%,Math-based node chain,"Scale, Detail, Roughness, Distance",Complex to recreate,data/custom_nodes/ShaderNodeTexVoronoi.json,data/custom_nodes/docs/ShaderNodeTexVoronoi.md,data/custom_nodes/examples/Texture/VoronoiTexture.shadersubgraph
Gradient Texture,Texture,Gradient Sampler,70%,Procedural gradient,Type (Linear/Radial/etc),Can approximate,data/custom_nodes/ShaderNodeTexGradient.json,data/custom_nodes/docs/ShaderNodeTexGradient.md,data/custom_nodes/examples/Texture/GradientTexture.shadersubgraph
Wave Texture,Texture,Wave pattern,60%,Procedural wave,"Scale, Distortion, Detail",Custom shader needed,data/custom_nodes/ShaderNodeTexWave.json,data/custom_nodes/docs/ShaderNodeTexWave.md,data/custom_nodes/examples/Texture/WaveTexture.shadersubgraph
Brick Texture,Texture,Custom procedural,50%,Math-based pattern,"Scale, Offset, Mortar, Bias",Approximation possible,data/custom_nodes/ShaderNodeTexBrick.json,data/custom_nodes/docs/ShaderNodeTexBrick.md,data/custom_nodes/examples/Texture/BrickTexture.shadersubgraph
Checker Texture,Texture,Checker pattern,70%,Procedural checker,"Scale, Offset",Procedural pattern,data/custom_nodes/ShaderNodeTexChecker.json,data/custom_nodes/docs/ShaderNodeTexChecker.md,data/custom_nodes/examples/Texture/CheckerTexture.shadersubgraph
Magic Texture,Texture,Custom procedural,40%,Complex math,"Scale, Distortion, Depth",Difficult to match,data/custom_nodes/ShaderNodeTexMagic.json,data/custom_nodes/docs/ShaderNodeTexMagic.md,data/custom_nodes/examples/Texture/MagicTexture.shadersubgraph
Stucci Texture,Texture,Custom procedural,40%,Noise-based pattern,"Scale, Type, Turbulence",Similar to Noise,data/custom_nodes/ShaderNodeTexStucci.json,data/custom_nodes/docs/ShaderNodeTexStucci.md,data/custom_nodes/examples/Texture/NoiseTexture.shadersubgraph
White Noise Texture,Texture,Random value,80%,Randomize (custom),"Scale, Offset, Dimensions",Can approximate,data/custom_nodes/ShaderNodeTexWhiteNoise.json,data/custom_nodes/docs/ShaderNodeTexWhiteNoise.md,data/custom_nodes/examples/Texture/NoiseTexture.shadersubgraph
Point Density,Texture,,5%,Not applicable,"Point data, Radius",Bake-only feature,data/custom_nodes/ShaderNodeTexPointDensity.json,data/custom_nodes/docs/ShaderNodeTexPointDensity.md,
IES Light,Texture,Lookup Texture,50%,Pre-bake IES,IES file,Pre-process required,data/custom_nodes/ShaderNodeTexIES.json,data/custom_nodes/docs/ShaderNodeTexIES.md,
Vertex Color,Utility,Vertex Color,90%,Vertex Attribute,Layer name,Painted vertex colors,data/custom_nodes/ShaderNodeVertexColor.json,data/custom_nodes/docs/ShaderNodeVertexColor.md,data/custom_nodes/examples/ShaderNodeVertexColor/VertexColor.shadergraph
Layer Weight,Input,Fresnel/Facing,75%,Blend/Fresnel nodes,Blend type,Fresnel + Facing approximation,data/custom_nodes/ShaderNodeLayerWeight.json,data/custom_nodes/docs/ShaderNodeLayerWeight.md,
Invert,Utility,Math (Subtract),95%,1 - Input,Color/Value inputs,Simple inversion,data/custom_nodes/ShaderNodeInvert.json,data/custom_nodes/docs/ShaderNodeInvert.md,data/custom_nodes/examples/Color/Invert.shadersubgraph
Reroute,Utility,Node Reroute,100%,Direct pass-through,Connection only,Helper node,data/custom_nodes/ShaderNodeReroute.json,data/custom_nodes/docs/ShaderNodeReroute.md,data/custom_nodes/examples/ShaderNodeReroute/Procedural-UV-AutoTransformsCombined.ShaderGraph
Array Info,Utility,,0%,Not applicable,Instance count,Instancing metadata,data/custom_nodes/ShaderNodeArrayInfo.json,data/custom_nodes/docs/ShaderNodeArrayInfo.md,
Blackbody,Utility,Color from Temp,85%,Kelvin→RGB,Temperature,Physics-based,data/custom_nodes/ShaderNodeBlackbody.json,data/custom_nodes/docs/ShaderNodeBlackbody.md,data/custom_nodes/examples/Color/Gamma.shadersubgraph
